finess,rs_finess,finess_geo,rs_finess_geo,region,type,participation,depot,nb_rep_score_all_ssr_ajust,score_all_ssr_ajust,classement,evolution,score_accueil_ssr_ajust,nb_rep_score_accueil_ssr_ajust,score_pec_ssr_ajust,nb_rep_score_pec_ssr_ajust,score_lieu_ssr_ajust,nb_rep_score_lieu_ssr_ajust,score_repas_ssr_ajust,nb_rep_score_repas_ssr_ajust,score_sortie_ssr_ajust,nb_rep_score_sortie_ssr_ajust,score_all_ssr_ajust_dp,taux_reco_brut,nb_reco_brut,score_ajust_esatis_region,score_ajust_esatis_type
030780100,CENTRE HOSPITALIER DE MONTLUCON,030000079,CH DE MONTLUCON,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,52,75.1,B,Non calculable,81.59,52,81.15,52,75.16,52,58.5,52,63.97,52,75.0,66.7,51,76.82,78.29
030780118,CENTRE HOSPITALIER DE VICHY,030000087,CH JACQUES LACARIN VICHY,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
030002158,CENTRE HOSPITALIER DEPARTEMENTAL COEUR DU BOURBONNAIS,030002208,CH DPT COEUR DU BOURBONNAIS TRONGET,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
030002158,CENTRE HOSPITALIER DEPARTEMENTAL COEUR DU BOURBONNAIS,030007942,CH DPT COEUR BOURBONNAIS ST POURCAIN,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
030780548,POLYCLINIQUE LA PERGOLA,030780548,POLYCLINIQUE LA PERGOLA,Auvergne-Rhône-Alpes,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
030781116,HOPITAL PRIVE ST FRANCOIS - POLYCLINIQUE ST ANTOINE,030781116,HOPITAL PRIVE SAINT-FRANCOIS,Auvergne-Rhône-Alpes,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
040780215,CENTRE HOSPITALIER DE MANOSQUE,040000069,CHI MANOSQUE SITE FORCALQUIER,PACA,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
040780215,CENTRE HOSPITALIER DE MANOSQUE,040000093,CHI DE MANOSQUE LOUIS RAFFALLI,PACA,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
050002948,CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD,040000135,CHI DES ALPES DU SUD SITE DE SISTERON,PACA,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
040780389,CLINIQUE MEDICALE JEAN GIONO,040780389,CLINIQUE JEAN GIONO,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
040780405,CENTRE DES CARMES,040780405,CENTRE DES CARMES,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,35,70.56,C,Amélioration,81.98,35,74.0,35,70.49,35,51.28,35,67.22,35,71.0,37.1,35,75.36,74.3
040780488,CRRF L'EAU VIVE,040780488,CRF DE HAUTE PROVENCE L'EAU VIVE,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,133,73.59,B,Stable,83.67,133,78.48,133,69.91,133,58.57,133,67.43,133,74.0,66.9,133,75.36,74.3
040780520,KORIAN LE VERDON,040780520,CLINIQUE LE VERDON,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
050000041,CENTRE RHONE - AZUR BRIANCON,050000041,CENTRE MEDICAL RHONE AZUR BRIANCON,PACA,Etablissements de santé privés à but non lucratif,Facultatif,Oui,105,79.67,A,Stable,87.22,105,81.85,105,83.28,105,70.64,105,71.0,105,80.0,78.8,104,75.36,78.23
050000058,CENTRE MÉDICAL RIO VERT,050000058,CENTRE MEDICAL SSR RIO VERT,PACA,Etablissements de santé privés à but non lucratif,Facultatif,Oui,50,81.56,A,Non calculable,89.26,50,82.88,50,82.34,50,81.08,50,73.93,50,82.0,78.0,50,75.36,78.23
050000066,CENTRE MÉDICAL LA SOURCE,050000066,CENTRE MEDICAL LA SOURCE,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,38,78.42,A,Non calculable,86.22,38,81.47,38,76.73,38,71.67,38,71.96,38,78.0,57.9,38,75.36,74.3
050002948,CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD,050000348,CHI DES ALPES DU SUD SITE DE GAP,PACA,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
050000488,CENTRE DE CURE LES ACACIAS,050000488,CLINIQUE DU SOUFFLE LES ACACIAS,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,102,77.19,A,Stable,81.31,102,81.31,102,73.32,102,67.33,102,73.23,102,77.0,53.5,101,75.36,74.3
050000637,CENTRE MÉDICAL D'ALTITUDE MONTJOY,050000637,CLINIQUE MONTJOY,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
050000991,CENTRE MÉDICAL CHANT'OURS,050000991,CENTRE MEDICAL CHANT'OURS,PACA,Etablissements de santé privés à but non lucratif,Obligatoire,Oui,179,80.45,A,Stable,87.99,179,84.47,179,80.34,179,69.04,179,71.43,179,80.0,77.4,177,75.36,78.23
050001064,LA DURANCE,050001064,CENTRE MEDICAL LA DURANCE,PACA,Etablissements de santé privés à but non lucratif,Facultatif,Oui,52,73.79,B,Non calculable,81.99,52,78.5,52,74.69,52,57.52,52,64.77,52,74.0,53.8,52,75.36,78.23
050002351,CENTRE RHONE AZUR-GAP,050002351,CENTRE RHONE AZUR GAP,PACA,Etablissements de santé privés à but non lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
060000296,LA MAISON DU MINEUR,060000296,LA MAISON DU MINEUR,PACA,Etablissements de santé privés à but non lucratif,Obligatoire,Oui,183,77.7,A,Stable,85.65,183,82.34,183,79.5,183,56.56,183,72.48,183,78.0,58.5,183,75.36,78.23
060780657,CENTRE HOSPITALIER DE BREIL SUR ROYA,060000304,CENTRE HOSPITALIER DE BREIL SUR ROYA,PACA,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
060780780,CENTRE HOSPITALIER DU PAYS DE LA ROUDOULE A PUGET THENIERS,060000411,CH DU PAYS DE LA ROUDOULE PUGET,PACA,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
060780954,CENTRE HOSPITALIER D'ANTIBES JUAN LES PINS,060000510,CH D'ANTIBES JUAN LES PINS,PACA,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
060791761,CENTRE HOSPITALIER LA PALMOSA DE MENTON,060002102,CH LA PALMOSA DE MENTON,PACA,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
060005469,OLIVERAIE DES CAYRONS,060005469,L'OLIVERAIE DES CAYRONS,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
060021094,CLINIQUE VILLA ROMAINE,060021094,CLINIQUE VILLA ROMAINE,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,32,70.81,C,Non calculable,72.57,32,73.34,32,77.17,32,59.42,32,62.05,32,71.0,21.9,32,75.36,74.3
060021201,ATLANTIS,060021201,CENTRE DE CONVALESCENCE ATLANTIS,PACA,Etablissements de santé privés à but lucratif,Obligatoire,Oui,108,72.11,C,Stable,77.69,108,74.25,108,76.06,108,66.35,108,62.47,108,72.0,56.5,108,75.36,74.3
060780145,CENTRE ST DOMINIQUE,060780145,CLINIQUE SAINT DOMINIQUE,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,54,79.74,A,Stable,82.85,54,81.09,54,84.88,54,77.44,54,70.0,54,80.0,79.6,54,75.36,74.3
060780277,MAISON DE REPOS STE BRIGITTE,060780277,CLINIQUE SAINTE BRIGITTE,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
060780343,MAISON DE CONVALESCENCE L'ENSOLEILLEE,060780343,E3S SAINT JEAN,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,40,69.08,C,Diminution,73.42,40,73.25,40,71.26,40,52.4,40,62.35,40,69.0,40.0,40,75.36,74.3
060780350,KORIAN LES HELLENIDES,060780350,CLINIQUE LES HELLENIDES,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
060780392,CENTRE DE CONVALESCENCE MONTSINERY,060780392,POLE ANTIBES SAINT JEAN,PACA,Etablissements de santé privés à but lucratif,Obligatoire,Oui,102,74.15,B,Stable,80.83,102,76.29,102,78.82,102,63.68,102,65.19,102,74.0,56.9,102,75.36,74.3
060780459,CLINIQUE ORSAC MONTFLEURI,060780459,CLINIQUE ORSAC MONTFLEURI,PACA,Etablissements de santé privés à but non lucratif,Obligatoire,Oui,,,NV,,,,,,,,,,,,,,,,
060780558,LES CADRANS SOLAIRES,060780558,CLINIQUE FSEF VENCE,PACA,Etablissements de santé privés à but non lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
060780665,CLINIQUE DU MERIDIEN,060780665,CLINIQUE LE MERIDIEN,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
060781374,INSTITUT POLYCLINIQUE DE CANNES,060781374,INSTITUT POLYCLINIQUE DE CANNES,PACA,Etablissements de santé privés à but lucratif,Obligatoire,Oui,,,NV,,,,,,,,,,,,,,,,
060785011,CENTRE HOSPITALIER UNIVERSITAIRE DE NICE,060788957,CHU DE NICE HOPITAL DE CIMIEZ,PACA,Centre Hospitalo-Universitaires,Facultatif,Oui,42,71.86,C,Stable,75.79,42,77.14,42,70.97,42,59.27,42,62.69,42,72.0,35.7,42,75.36,75.79
060785011,CENTRE HOSPITALIER UNIVERSITAIRE DE NICE,060789195,CHU DE NICE HOPITAL DE L'ARCHET,PACA,Centre Hospitalo-Universitaires,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
060789674,CENTRE HELIO MARIN VALLAURIS,060789674,CENTRE HELIO MARIN,PACA,Etablissements de santé privés à but non lucratif,Facultatif,Oui,64,73.97,B,Amélioration,83.4,64,80.4,64,66.01,64,58.15,64,69.63,64,74.0,51.6,64,75.36,78.23
060785011,CENTRE HOSPITALIER UNIVERSITAIRE DE NICE,060790177,CHU NICE CTRE DE CONVALESCENCE TENDE,PACA,Centre Hospitalo-Universitaires,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
060790862,CLINIQUE MEDICALE LE CALME,060790862,CLINIQUE LE CALME,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,117,79.25,A,Stable,91.47,117,81.97,117,69.54,117,83.26,117,73.43,117,79.0,78.6,117,75.36,74.3
060791746,CLINIQUE DE L'ESTAGNOL,060791746,CLINIQUE DE L'ESTAGNOL,PACA,Etablissements de santé privés à but lucratif,Facultatif,Oui,72,65.08,D,Diminution,65.94,72,66.29,72,74.93,72,51.83,72,57.97,72,65.0,27.8,72,75.36,74.3
060791811,HOPITAL PRIVE GERIATRIQUE LES SOURCES,060791811,HOPITAL PRIVE GERIATRIQUE LES SOURCES,PACA,Etablissements de santé privés à but non lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
060798881,MAISON DE CONVALESCENCE LA SERENA,060798881,MAISON DE CONVALESCENCE LA SERENA,PACA,Etablissements de santé privés à but lucratif,Obligatoire,Oui,141,66.39,D,Stable,72.66,141,67.88,141,74.54,141,58.58,141,54.84,141,66.0,33.1,139,75.36,74.3
060800166,CLINIQUE DE L'ESPERANCE,060800166,HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS,PACA,Etablissements de santé privés à but lucratif,Obligatoire,Oui,76,73.85,B,Amélioration,78.53,76,75.64,76,82.08,76,60.55,76,66.04,76,74.0,50.0,76,75.36,74.3
060800182,UNITÉ DIETETIQUE COTE D AZUR,060800182,UNITE DE DIETETIQUE SOMEDI,PACA,Etablissements de santé privés à but lucratif,Obligatoire,Oui,155,70.69,C,Stable,74.97,155,73.57,155,72.14,155,63.51,155,63.24,155,71.0,46.4,153,75.36,74.3
070780358,CH D'ARDÈCHE NORD,070000179,CH ARDECHE NORD,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
070780366,CH DE LAMASTRE,070000187,CH DE LAMASTRE,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
070780374,CH DE TOURNON,070000195,CH DE TOURNON SUR RHONE,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
070780382,CH DE SAINT FELICIEN,070000203,CH DE SAINT FELICIEN,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
070005566,CH D'ARDECHE MERIDIONALE,070000484,CH ARDECHE MERIDIONALE -VALS LES BAINS,Auvergne-Rhône-Alpes,Centre Hospitaliers,Obligatoire,Oui,138,79.24,A,Amélioration,84.51,138,82.71,138,76.89,138,71.93,138,73.77,138,79.0,70.8,137,76.82,78.29
070780226,CENTRE DE RÉÉDUCATION RESPIRATOIRE DE FOLCHERAN,070780226,SSR FILIERIS DES VANS,Auvergne-Rhône-Alpes,Etablissements de santé privés à but non lucratif,Facultatif,Oui,63,78.31,A,Non calculable,88.09,63,85.75,63,77.01,63,41.6,63,76.94,63,78.0,49.2,63,76.82,78.23
070780242,LA CONDAMINE - SARL CHAPUIS FERNANDE,070780242,CLINIQUE LA CONDAMINE,Auvergne-Rhône-Alpes,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
070000211,CH DE SERRIERES,070780390,CH DE SERRIERES,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
070002878,CH DES VALS D'ARDÈCHE,070783824,MAISON DE CURE DU MONTOULON,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
070784897,CENTRE DE POST CURE VIRAC,070784897,CENTRE DE POST-CURE CROIX BLEUE VIRAC,Auvergne-Rhône-Alpes,Etablissements de santé privés à but non lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
080011174,CHI NORD ARDENNES,080000110,CENTRE HOSPITALIER DE SEDAN,Grand Est,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
080000136,CLINIQUE DE LA POINTE,080000136,CLINIQUE DE LA POINTE,Grand Est,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
080001969,GROUPE HOSPITALIER SUD ARDENNES,080000219,CENTRE HOSPITALIER DE RETHEL,Grand Est,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
080000250,CRF POUR ADULTES,080000250,CRF POUR ADULTES,Grand Est,Etablissements de santé privés à but non lucratif,Facultatif,Oui,56,77.19,A,Non calculable,86.01,56,80.53,56,77.44,56,66.01,56,69.65,56,77.0,71.4,56,76.47,78.23
080000268,MAISON DE REPOS ET DE CONVALESCENCE SAINT JULIEN,080000268,SOINS DE SUITE SAINT JULIEN,Grand Est,Etablissements de santé privés à but non lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
080011174,CHI NORD ARDENNES,080000284,CENTRE HOSPITALIER DE FUMAY,Grand Est,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
080011174,CHI NORD ARDENNES,080000300,CENTRE HOSPITALIER DE NOUZONVILLE,Grand Est,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
080010523,CLINQUE DU PARC,080010523,CLINIQUE DU PARC,Grand Est,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
090180019,CH ST LOUIS AX LES THERMES,090000019,CH SAINT LOUIS AX LES THERMES,Occitanie,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
090781816,CENTRE HOSPITALIER ARIEGE COUSERANS,090000183,CH ARIEGE COUSERANS SITE ST LIZIER,Occitanie,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
100000041,HOPITAL LOCAL BAR SUR AUBE,100000116,CENTRE HOSPITALIER DE BAR SUR AUBE,Grand Est,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
100000058,HOPITAL LOCAL DE BAR-SUR-SEINE,100000140,CH DE PROXIMITE CHRISTIAN BRAUN,Grand Est,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
100006279,GROUPEMENT HOSPITALIER AUBE MARNE,100000199,CENTRE HOSPITALIER DE ROMILLY/SEINE,Grand Est,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
100000017,CENTRE HOSPITALIER DE TROYES,100006493,SECTION MOYEN SEJOUR - CH DE TROYES,Grand Est,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
100007285,CRF INSTITUT ASCLEPIADE,100007285,INSTITUT ASCLEPIADE,Grand Est,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
100010362,GCS PLAT AVAL TERR CHAMP SUD CRF PAST,100010362,GCS PATCS CRRF COS PASTEUR 1,Grand Est,Etablissements de santé privés à but lucratif,Facultatif,Oui,50,80.19,A,Non calculable,85.63,50,84.51,50,78.58,50,67.02,50,75.35,50,80.0,82.0,50,76.47,74.3
100010545,CLINIQUE KORIAN,100010545,CLINIQUE KORIAN,Grand Est,Etablissements de santé privés à but lucratif,Obligatoire,Oui,,,NV,,,,,,,,,,,,,,,,
100010362,GCS PLAT AVAL TERR CHAMP SUD CRF PAST,100011477,GCS PATCS CRRF COS PASTEUR 2,Grand Est,Etablissements de santé privés à but lucratif,Facultatif,Oui,50,76.92,A,Non calculable,83.06,50,79.57,50,81.78,50,63.18,50,69.59,50,77.0,70.0,50,76.47,74.3
110780087,CENTRE HOSPITALIER JEAN PIERRE CASSABEL DE CASTELNAUDARY,110000049,CH JP CASSABEL CASTELNAUDARY,Occitanie,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
110780707,CENTRE HOSPITALIER LIMOUX QUILLAN,110000189,CH LIMOUX QUILLAN SITE DE LIMOUX,Occitanie,Centre Hospitaliers,Facultatif,Oui,32,82.83,A,Non calculable,87.58,32,85.14,32,82.39,32,76.06,32,78.65,32,83.0,100.0,32,76.05,78.29
110781010,CH FRANCIS VALS,110000262,CH FRANCIS VALS PORT LA NOUVELLE,Occitanie,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
110003118,CLINIQUE DU SUD,110003118,CL DU SUD CARCASSONNE,Occitanie,Etablissements de santé privés à but lucratif,Obligatoire,Oui,122,75.51,B,Stable,84.45,122,78.99,122,77.71,122,61.67,122,67.37,122,76.0,52.9,121,76.05,74.3
110004942,SSR LES QUATRE FONTAINES,110004942,LES QUATRE FONTAINES KORIAN NARBONNE,Occitanie,Etablissements de santé privés à but lucratif,Obligatoire,Oui,42,72.33,C,Stable,81.69,42,73.67,42,78.81,42,63.1,42,63.03,42,72.0,45.2,42,76.05,74.3
110780137,CENTRE HOSPITALIER DE NARBONNE,110005246,SSR GERIATRIE CH NARBONNE,Occitanie,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
110007630,SSR CENTRE DE LORDAT,110007630,SSR CTRE LORDAT CASTELNAUDARY,Occitanie,Etablissements de santé privés à but non lucratif,Facultatif,Oui,54,81.42,A,Stable,87.97,54,85.37,54,83.25,54,65.79,54,74.14,54,81.0,72.2,54,76.05,78.23
110780194,CLINIQUE SOINS DE SUITE CHRISTINA,110780194,CL CHRISTINA CHALABRE,Occitanie,Etablissements de santé privés à but lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
110780202,MAISON DE REPOS ET DE CONVALESCENCE CHT LA VERNEDE,110780202,CL KORIAN LA VERNEDE,Occitanie,Etablissements de santé privés à but lucratif,Facultatif,Oui,49,66.15,D,Non calculable,75.08,49,65.32,49,71.6,49,70.01,49,57.49,49,66.0,20.4,49,76.05,74.3
110780228,HOPITAL PRIVE DU GRAND NARBONNE,110780228,HOPITAL PRIVE DU GRAND NARBONNE,Occitanie,Etablissements de santé privés à but lucratif,Facultatif,Oui,51,71.13,C,Amélioration,79.38,51,78.24,51,77.73,51,33.36,51,62.99,51,71.0,32.7,49,76.05,74.3
110786324,SSR LIMOUX ARAGOU LES TILLEULS,110786746,SSR LIMOUX ARAGOU LES TILLEULS USSAP,Occitanie,Etablissements de santé privés à but non lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
120780093,CENTRE HOSPITALIER EX HOPITAL LOCAL DE SAINT GENIEZ D'OLT,120000088,CH ETIENNE RIVIE ST GENIEZ D'OLT,Occitanie,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
120780101,C.H.I.  EX H.L. ESPALION-SAINT LAURENT D'OLT,120000096,CHI ESPALION ST LAURENT D'OLT,Occitanie,Centre Hospitaliers,Obligatoire,Oui,,,NV,,,,,,,,,,,,,,,,
120780481,CHIC VALLON SALLES LA SOURCE,120000237,CHI VALLON SALLES LA SOURCE,Occitanie,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
120004619,CENTRE HOSPITALIER DE SAINT AFFRIQUE,120004668,CH EMILE BOREL ST AFFRIQUE,Occitanie,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
