"code_demarche","FINESS_EJ","FINESS_EG","RS_eg","Site_Principal"
30008,780001236,780022521,"CHI DE POISSY SAINT-GERMAIN - CMP","False"
30008,780001236,780800892,"CHI DE POISSY SAINT-GERMAIN - LONG SEJOUR LES MAISONNEES","False"
30008,780001236,780804175,"CHI DE POISSY SAINT-GERMAIN - SLD SAINT-GERMAIN","False"
30008,780001236,780809273,"CHI DE POISSY SAINT-GERMAIN - CMP","False"
30008,780001236,780809471,"CHI DE POISSY SAINT-GERMAIN - CMP","False"
30008,780001236,780820361,"CHI DE POISSY SAINT-GERMAIN - CMPI","False"
30008,780001236,780820379,"CHI DE POISSY SAINT-GERMAIN - CMPI","False"
30008,780001236,780822078,"CHI DE POISSY SAINT-GERMAIN - HOPITAL DE JOUR PEDOPSY","False"
30008,780001236,780824033,"CHI DE POISSY SAINT-GERMAIN - CMPI","False"
30008,780001236,780826053,"CHI DE POISSY SAINT-GERMAIN - HOPITAL DE JOUR GALLIENI","False"
30009,920030855,130786247,"CLINIQUE DES TROIS  LUCS","True"
30010,440053429,440050433,"CLINIQUE MUTUALISTE DE L'ESTUAIRE","True"
30011,310788880,310781000,"CLINIQUE DES CEDRES","True"
30011,310788880,310784830,"CENTRE DE READAPTATION FONCTIONNELLE LES CEDRES","False"
30012,240000109,240000471,"CENTRE HOSPITALIER DE NONTRON","True"
30012,240000109,240008656,"SERVICE DE LONG SEJOUR DE L'HOPITAL LOCAL DE NONTRON","False"
30013,750721334,770701225,"CENTRE DE REEDUCATION ET DE READAPTATION FONCTIONNELLES LE BRASSET","True"
30015,590000204,590780383,"HOPITAL PRIVE LA LOUVIERE","True"
30016,280000183,280000084,"CENTRE HOSPITALIER GENERAL DE DREUX","True"
30016,280000183,280006081,"CONSULTATIONS I.S.T","False"
30016,280000183,280503574,"ETABLISSEMENT DE SOINS D LONGUE DUREE","False"
30017,770700029,770000420,"CENTRE DE READAPTATION ELLEN POIDATZ","True"
30018,340000298,340780675,"CLINIQUE CLEMENTVILLE","True"
30019,730011731,730007978,"CLINIQUE MEDICALE LE SERMAY","True"
30020,330000316,330780511,"CLINIQUE SAINTE ANNE","True"
30021,690046347,250011848,"POLYCLINIQUE DE FRANCHE COMTE","True"
30022,750720534,510000292,"ETABLISSEMENT HOSPITALIER DE SOINS DE SUITE ET READAPTATION SAINTE MARTHE","True"
30023,340780881,340000439,"CENTRE MAGUELONE","True"
30024,300000692,300781424,"CLINIQUE LA CAMARGUE MONT DUPLAN","True"
30025,840006597,840001861,"CENTRE HOSPITALIER D'AVIGNON-HENRI DUFFAUT","True"
30025,840006597,840012470,"CENTRE HOSPITALIER D'AVIGNON-HENRI DUFFAUT-SLD","False"
30026,790000012,790000087,"CENTRE HOSPITALIER DE NIORT","True"
30026,790000012,790009815,"CH DE NIORT-SLD UNITE DE LONG SEJOUR DE NIORT","False"
30026,790000012,790011456,"CH DE NIORT-MAISON THERAPEUTIQUE - 79G03","False"
30026,790000012,790011472,"CH DE NIORT-C.A.T.T.P. LA CLEMENTINE - 79G01","False"
30026,790000012,790011522,"CMP + CATTP - 79G02","False"
30026,790000012,790011563,"CH DE NIORT-C.M.P. + C.A.T.T.P. - 79G02","False"
30026,790000012,790012074,"C.M.P. + C.A.T.T.P. - HOPITAL DE JOUR SAINT MAIXENT L'ECOLE","False"
30026,790000012,790012157,"CMP - CATTP - HOPITAL DE JOUR PARTHENAY","False"
30026,790000012,790012355,"CEAA (CENTRE EXPERTISE ADULTE AVEC AUTISME)","False"
30026,790000012,790014732,"ANTENNE CEGIDD - SITE BRESSUIRE","False"
30026,790000012,790016182,"CEGIDD du CH de Niort","False"
30026,790000012,790016844,"CH DE NIORT-LIEU DE VIE - 79G01","False"
30026,790000012,790016851,"CH DE NIORT-CMP/CATTP - 79I01","False"
30026,790000012,790018931,"CMP MAZAGRAN - CH NIORT","False"
30026,790000012,790020127,"ANTENNE CEGIDD - SITE THOUARS","False"
30026,790000012,790020960,"HAD Sud Deux-Sèvres","False"
30026,790000012,790021257,"CLAT des Deux-Sèvres","False"
30026,790000012,790021265,"ANTENNE CEGIDD 79","False"
30026,790000012,790022222,"HDJ CMPEA de Goise","False"
30028,880007299,880000054,"CHI DE L'OUEST VOSGIEN - SITE DE NEUFCHATEAU","True"
30028,880007299,880000070,"CHI DE L'OUEST VOSGIEN - SITE DE VITTEL","False"
30028,880007299,880788773,"UNITE DE SOINS DE LONGUE DUREE CENTRE HOSPITALIER DE VITTEL","False"
30029,600100721,600000285,"CENTRE HOSPITALIER INTERCOMMUNAL COMPIEGNE/NOYON - SITE NOYON","False"
30029,600100721,600010102,"CHI COMPIEGNE/NOYON-SITE DE COMPIEGNE-HAD","False"
30029,600100721,600107668,"CHI COMPIEGNE/NOYON-SITE DE COMPIEGNE-SLD","False"
30029,600100721,600110589,"CHI COMPIEGNE/NOYON-SITE DE NOYON-SLD","False"
30029,600100721,600113476,"CENTRE HOSPITALIER INTERCOMMUNAL DE COMPIEGNE/ NOYON - SITE DE COMPIEGNE","True"
30030,590005245,590047791,"HOPITAL DE JOUR","False"
30030,590005245,590813069,"CLINIQUE DE L'ESCREBIEUX","True"
30031,310021118,500012687,"KORIAN WILLIAM HARVEY","True"
30032,690000146,690023239,"CLINIQUE DU PARC LYON","True"
30032,690000146,690043476,"CLINIQUE DU PARC - CAK","False"
30033,310000161,310780374,"MAISON DE REPOS CONVALESCENCE DU CHATEAU DE VERNHES","True"
30034,920031754,310780143,"CLINIQUE DU CHATEAU DE SEYSSES","True"
30035,340009877,340009885,"CLINIQUE CHAMPEAU","True"
30036,340000389,340780790,"CLINIQUE SAINT ANTOINE","True"
30037,660000142,660780248,"CLINIQUE DU PRE","True"
30038,680001088,680000767,"HOPITAL INTERCOMMUNAL DE SOULTZ-ISSENHEIM","True"
30040,920001088,920310034,"CLINIQUE DU CHATEAU DE GARCHES","True"
30041,850013244,850000118,"CLINIQUE SAINT CHARLES","True"
30042,340015171,340781608,"CLINIQUE MEDICALE DU MAS DE ROCHET","True"
30043,690000542,690781745,"CLINIQUE SAINT-VINCENT-DE-PAUL","True"
30045,910000462,910300177,"CLINIQUE DE L'YVETTE","True"
30046,380795211,380785956,"CLINIQUE DES CEDRES","True"
30047,750000606,750300089,"CLINIQUE DU SPORT","True"
30048,920028560,230782617,"CENTRE DE REEDUCATION ET DE READAPTATION FONCTIONNELLE ANDRE-LALANDE","True"
30049,380019224,380780288,"NOUVELLE CLINIQUE DE CHARTREUSE","True"
30050,050000546,050000991,"CENTRE MEDICAL CHANT'OURS","True"
30051,690782271,690000625,"HOPITAL NORD OUEST TARARE","True"
30052,160000451,160000253,"CENTRE HOSPITALIER D'ANGOULEME","True"
30052,160000451,160006359,"CH D'ANGOULEME-SLD","False"
30053,280000134,280000043,"CENTRE HOSPITALIER DE CHARTRES-RESIDENCE DE L'HOTEL DIEU","False"
30053,280000134,280000696,"CENTRE HOSPITALIER DE CHARTRES-RESIDENCE DU VAL DE L'EURE","False"
30053,280000134,280504267,"CENTRE HOSPITALIER DE CHARTRES-HOPITAL LOUIS PASTEUR","True"
30054,290000991,290000736,"CLINIQUE DE L'IROISE","True"
30055,340000405,340780824,"PLEIN SOLEIL","True"
30056,710000092,710002569,"CLINIQUE DU CHALONNAIS","True"
30057,130037815,130043854,"CENTRE DE READAPTATION VALMANTE HOPITAL EUROPEEN","False"
30057,130037815,130786924,"INSTITUT UNIVERSITAIRE DE READAPTATION (IUR) VALMANTE SUD","True"
30058,750005068,830100681,"CENTRE MEDICAL MGEN ACTION SANITAIRE ET SOCIAL PIERRE-CHEVALIER","True"
30059,510000854,510000813,"CENTRE DE POST-CURE L'AMITIE","True"
30062,610780165,610000119,"CH ""JACQUES MONOD""","True"
30062,610780165,610788325,"CENTRE MAUBERT","False"
30062,610780165,610790313,"CMP CH-FLERS","False"
30062,610780165,610790321,"CMP LE TERTRE","False"
30062,610780165,610790370,"HOPITAL DE JOUR","False"
30062,610780165,610790446,"CENTRE D'ACCUEIL THERAPEUTIQUE A TEMPS PARTIEL- CH FLERS","False"
30063,440001501,440002459,"CENTRE DE SOINS DE SUITE ET DE READAPTATION LE BODIO","True"
30064,750005068,230780082,"CENTRE MEDICAL MGEN DE SAINTE FEYRE","True"
30065,600000798,600009054,"CLINIQUE EUGENIE","True"
30066,340000421,340780857,"CLINIQUE LE CASTELET","True"
30067,140000449,140000290,"CLINIQUE NOTRE DAME","True"
30071,420013831,420000226,"CENTRE HOSPITALIER DU FOREZ - SITE MONTBRISON","True"
30071,420013831,420000267,"CENTRE HOSPITALIER DU FOREZ - SITE DE FEURS","False"
30071,420013831,420003618,"CMP - CATTP ENFANT - ADOLESCENTS DE MONTBRISON","False"
30071,420013831,420012320,"HOPITAL DE JOUR ET APPARTEMENT THERAPEUTIQUE","False"
30071,420013831,420012486,"CMP ADULTES DE FEURS","False"
30071,420013831,420012494,"CMP - CATTP ENFANTS DE FEURS","False"
30071,420013831,420012502,"CMP ADULTES DE BOEN","False"
30071,420013831,420012510,"CMP ADULTES DE VEAUCHE","False"
30071,420013831,420012528,"CATTP ADULTES DE MONTBRISON","False"
30071,420013831,420785107,"SERVICE DE PSYCHOTHERAPIE DE L'HOPITAL DE MONTBRISON","False"
30072,130014228,130785652,"HOPITAL SAINT JOSEPH","True"
30073,920031788,660780636,"MER-AIR-SOLEIL","True"
30074,060001997,060790862,"C.A.L.M.E - CENTRE D'ACTION ET DE LIBERATION DES MALADES ETHYLIQUES","True"
30075,340000371,340780782,"CLINIQUE STELLA","True"
30076,750811184,910150028,"CENTRE HOSPITALIER DE BLIGNY","True"
30077,340000074,340015965,"POLYCLINIQUE SAINT PRIVAT","True"
30078,870014248,870000601,"CENTRE HOSPITALIER INTERCOMMUNAL MONTS ET BARRAGES","True"
30078,870014248,870008133,"CENTRE HOSPITALIER INTERCOMMUNAL MONTS ET BARRAGES-SLD","False"
30080,070005566,070000484,"CENTRE HOSPITALIER DE VALS LES BAINS-PAUL RIBEYRE","False"
30080,070005566,070000609,"CENTRE HOSPITALIER D'AUBENAS","True"
30080,070005566,070006804,"SSR LEON ROUVEYROL","False"
30081,590782165,590000592,"CENTRE HOSPITALIER DE DENAIN","True"
30081,590782165,590009528,"CH DE DENAIN-HDJ ENFANTS UHM BENJAMIN BRITTEN","False"
30081,590782165,590804324,"CH DE DENAIN-SLD","False"
30081,590782165,590805339,"CH DE DENAIN-HDJ ADULTE 59G33 / 59G34","False"
30081,590782165,590806071,"CH DE DENAIN-CMP ENFANTS","False"
30081,590782165,590806089,"CH DE DENAIN-CMP ENFANT","False"
30082,750150120,750000523,"GROUPE HOSPITALIER PARIS SAINT JOSEPH","True"
30082,750150120,920000684,"CENTRE CHIRUGICAL MARIE LANNELONGUE","False"
30083,590782660,590000782,"EPSM LILLE METROPOLE","True"
30083,590782660,590006995,"CMP SCHACKLETON","False"
30083,590782660,590008504,"CMP ENFANTS ET ADOS","False"
30083,590782660,590013108,"CATTP DAUMEZON","False"
30083,590782660,590013199,"CATTP BISECTORIEL G16 G17","False"
30083,590782660,590013249,"CATTP TRIESTE","False"
30083,590782660,590014338,"CMP TRIESTE","False"
30083,590782660,590035499,"HOPITAL DE JOUR TOURCOING  I03","False"
30083,590782660,590040010,"APPARTEMENT THERAPEUTIQUE STARTHER","False"
30083,590782660,590040044,"CENTRE DE POST CURE PSYCHIATRIQUE","False"
30083,590782660,590041513,"APPARTEMENT THERAPEUTIQUE THUMERIES L'INTERLUDE","False"
30083,590782660,590043352,"APPARTEMENT THERAPEUTIQUE LEONARD DE VINCI","False"
30083,590782660,590043360,"APPARTEMENT THERAPEUTIQUE LINSELLES","False"
30083,590782660,590044285,"CDJ HJ CENTRE GERONTO-PSYCHIATRIE","False"
30083,590782660,590044293,"MAISON ACCUEIL THERAPEUTIQUE - HOPITAL DE JOUR WATTIGNIES","False"
30083,590782660,590044616,"CDJ CATTP SECLIN","False"
30083,590782660,590044624,"MAT HJ - CATTP WATTIGNIES","False"
30083,590782660,590044913,"UNITES TOURQUENOISES DE PSYCHIATRIE (HOSP.TEMPS PLEIN + CENTRE D'ACCUEIL ET DE CRISE)","False"
30083,590782660,590045886,"UNITES HOSPITALISATIONS TEMPS PLEIN SECLIN","False"
30083,590782660,590047502,"APPARTEMENTS THERAPEUTIQUES","False"
30083,590782660,590051504,"CLINIQUE J. BOSCH (HOSP. TPS PLEIN)","False"
30083,590782660,590060059,"ATELIER THERAPEUTIQUE CAP VIE","False"
30083,590782660,590062121,"CATTP G20 LAMBERSART","False"
30083,590782660,590062139,"CATTP LE MOULIN G18 HALLUIN EPSM LM","False"
30083,590782660,590802765,"HOPITAL DE JOUR G.CHABE","False"
30083,590782660,590805719,"CMP ENFANTS ET ADOS","False"
30083,590782660,590805727,"HOPITAL DE JOUR L'INTERMEDE","False"
30083,590782660,590805743,"CMP ENFANT/ADOS HALLUIN","False"
30083,590782660,590805750,"CMP ADULTES LA MADELEINE LES CAPS","False"
30083,590782660,590805768,"CMP VAN BELLEGHEM","False"
30083,590782660,590805776,"CMP A. ARTAUD","False"
30083,590782660,590805784,"CMP ADULTES LAMBERSART","False"
30083,590782660,590809133,"CENTRE GAMBETTA bi-sectoriel HJ","False"
30083,590782660,590809141,"HOPITAL DE JOUR CEDRE VERT","False"
30083,590782660,590812301,"CMP SECLIN","False"
30083,590782660,590813606,"CMP TOURCOING","False"
30083,590782660,590814836,"CATTP ERASME","False"
30083,590782660,590815221,"CMP/CATTP PONT A MARCQ","False"
30083,590782660,590817276,"CENTRE ERASME CMP","False"
30083,590782660,590817789,"HOPITAL DE JOUR CENSE","False"
30085,210780417,210987731,"CLCC  GEORGES-FRANCOIS LECLERC","True"
30086,370000713,370000986,"CENTRE DE POST CURE LOUIS SEVESTRE","True"
30087,330000076,330780115,"CLINIQUE TIVOLI-DUCOS","True"
30088,380780080,380000067,"CENTRE HOSPITALIER UNIVERSITAIRE DE GRENOBLE-HOPITAL NORD","True"
30088,380780080,380000406,"CENTRE HOSPITALIER DE VOIRON","False"
30088,380780080,380006288,"CHU DE GRENOBLE-CENTRE DE GERONTOLOGIE SUD","False"
30088,380780080,380019752,"ANTENNE SMUR AERODROME VERSOUD - CHU38","False"
30088,380780080,380019760,"ANTENNE SMUR ALPES D'HUEZ - CHU38","False"
30088,380780080,380782722,"CENTRE HOSPITALIER UNIVERSITAIRE DE GRENOBLE - HOPITAL SUD","False"
30088,380780080,380802728,"SECTION LONG SEJOUR DE L'HOPITAL DE VOIRON - PAVILLON DE COUBLEVIE","False"
30089,520780073,520000068,"CENTRE HOSPITALIER GENEVIEVE DE GAULLE ANTHONIOZ","True"
30090,130037815,050000041,"CENTRE MEDICAL RHONE AZUR","True"
30090,130037815,050002351,"CENTRE RHONE AZUR SITE DE GAP","False"
30091,590781662,590000469,"CENTRE HOSPITALIER DE FOURMIES","True"
30091,590781662,590804373,"CENTRE HOSPITALIER DE FOURMIES-SLD","False"
30091,590781662,590806717,"CH DE FOURMIES-CMP ADULTES","False"
30095,640003497,640789426,"CLINIQUE DE L'OSSAU","True"
30096,970467148,970467155,"CLINIQUE LES FLAMBOYANTS OUEST - LA REUNION","True"
30097,760780254,760000174,"CENTRE HOSPITALIER ASSELIN-HEDELIN","True"
30098,750720575,750140022,"CLINIQUE MEDICO UNIVERSITAIRE GEORGES HEUYER","True"
30099,540003928,540000361,"CLINIQUE JEANNE D'ARC A LUNEVILLE","True"
30099,540003928,540023744,"UDM SITE PASTEUR (SAS CLINIQUE JEANNE D'ARC)","False"
30100,570001230,570002287,"MAISON DE SANTE SAINTE MARGUERITE","True"
30101,750721334,020010898,"HAD DE CHAUNY - CROIX ROUGE FRANÇAISE","True"
30102,920030855,950420042,"CLINIQUE DE L'OSERAIE","True"
30103,310781562,310014329,"SSR DEFICIENTS VISUELS ET BASSE VISION - CENTRE ANDRE MATHIS","True"
30104,740785035,740000583,"ETABLISSEMENT PUBLIC DE SANTÉ MENTALE 74","True"
30104,740785035,740003389,"CMP ADULTES VETRAZ MONTHOUX","False"
30104,740785035,740003439,"CMP ENFANTS LA ROCHE","False"
30104,740785035,740003488,"CMP ENFANTS ET ADULTES ST JULIEN EN GENEVOIS","False"
30104,740785035,740010715,"HOPITAL DE JOUR JOSEPH DAQUIN","False"
30104,740785035,740011440,"HJ ADULTES SALLANCHES","False"
30104,740785035,740011531,"HOPITAL DE JOUR LA ROCHE-SUR-FORON","False"
30104,740785035,740013271,"CMP ADULTES THONON","False"
30104,740785035,740013289,"CMP ADULTES EVIAN","False"
30104,740785035,740013297,"CATTP ADULTES THONON","False"
30104,740785035,740013305,"CATTP ADOLESCENTS THONON","False"
30104,740785035,740015102,"CATTP CENTRE JOSEPH DAQUIN","False"
30104,740785035,740015110,"CATTP BONNEVILLE","False"
30104,740785035,740015128,"CATTP CLUSES","False"
30104,740785035,740015136,"CATTPI LA BOBINE","False"
30104,740785035,740015144,"CATTPI SALLANCHES","False"
30104,740785035,740015151,"CATTP  - MAISON DES ADOLESCENTS","False"
30104,740785035,740017173,"CMP ENFANTS CLUSES","False"
30104,740785035,740017181,"CATTP ENFANTS CLUSES","False"
30104,740785035,740017199,"CMP ADULTES SAINT JULIEN EN GENEVOIS","False"
30104,740785035,740017207,"CMP ENFANTS SALLANCHES","False"
30104,740785035,740017231,"CDRPS DES GLIERES","False"
30104,740785035,740017249,"USMP CAGT MAISON D'ARRET BONNEVILLE","False"
30104,740785035,740017264,"EQUIPE MOBILE DE GERONTOPSYCHIATRIE","False"
30104,740785035,740017280,"POINT ECOUTE JEUNES CLUSES","False"
30104,740785035,740017298,"POINT ECOUTE JEUNES SALLANCHES","False"
30104,740785035,740017306,"POINT ECOUTE JEUNES VETRAZ MONTHOUX","False"
30104,740785035,740017314,"MAISON DES ADOLESCENTS VETRAZ MONTHOUX","False"
30104,740785035,740017322,"PSYCHIATRIE DE LIAISON CH ALPES LEMAN","False"
30104,740785035,740017348,"PEDOPSY LIAISON ANTENNE PERINAT HPMB","False"
30104,740785035,740017355,"PSYCHIATRIE DE LIAISON HPMB","False"
30104,740785035,740017371,"HDJ THONON LES BAINS","False"
30104,740785035,740017389,"PSYCHIATRIE DE LIAISON HDL","False"
30104,740785035,740017405,"HDJ PEDOPSY THONON LES BAINS MORCY","False"
30104,740785035,740017413,"HDJ PEDOPSY THONON BLEU SOLEIL","False"
30104,740785035,740017421,"EQUIPE MOBILE PSYCHIATRIE PRECARITE CHABLAIS","False"
30104,740785035,740017439,"POINT ECOUTE JEUNES THONON LES BAINS","False"
30104,740785035,740017447,"APPARTEMENT THERAPEUTIQUE VIONNAZ","False"
30104,740785035,740017454,"APPARTEMENT THERAPEUTIQUE HARPES","False"
30104,740785035,740018478,"Equipé mobile d'accompagnement à la sortie EMAS","False"
30104,740785035,740783279,"CMP ADULTES BONNEVILLE","False"
30104,740785035,740783287,"CMP ADULTES ET ENFANTS CLUSES","False"
30104,740785035,740783295,"CMP ADULTES ET ENFANTS SALLANCHES","False"
30104,740785035,740783311,"CMP ENFANTS THONON","False"
30104,740785035,740785308,"CMP ENFANT JEAN ITARD","False"
30104,740785035,740790431,"CMP ADULTES LA ROCHE SUR FORON","False"
30104,740785035,740790464,"CMP ENFANTS EVIAN","False"
30105,950110080,950000315,"GH CARNELLE PORTES DE L'OISE - SITE FRITSCHI","False"
30105,950110080,950000349,"CH MAGNY EN VEXIN","False"
30105,950110080,950000364,"CENTRE HOSPITALIER RENE DUBOS","True"
30105,950110080,950000695,"SMR SITE SAINT MARTIN DU TERTRE","False"
30105,950110080,950001743,"CMP CATTP ENFANTS CENTRE THERAPEUTIQUE ASTREA","False"
30105,950110080,950004317,"CATTP ADULTES","False"
30105,950110080,950005488,"CMP ENFANTS ASTREA","False"
30105,950110080,950005538,"CATTP ENFANTS LES P'TITS LOUPS","False"
30105,950110080,950005579,"CMP ENFANTS","False"
30105,950110080,950005728,"CMP ADULTES DE MAGNY EN VEXIN","False"
30105,950110080,950008698,"CMP ADULTES","False"
30105,950110080,950013656,"APPT THERAP ENTRAIDE DU VEXIN PONTOISE","False"
30105,950110080,950013664,"APPARTEMENT THERAPEUTIQUE","False"
30105,950110080,950015289,"Groupement Hospitalier Intercommunal du Vexin","False"
30105,950110080,950015347,"HOPITAL DE JOUR ADULTES ET ENFANTS","False"
30105,950110080,950015362,"CATTP ADULTES ET ENFANTS","False"
30105,950110080,950015404,"CMP ADULTES ET ENFANTS","False"
30105,950110080,950016139,"SMR MARINES","False"
30105,950110080,950045773,"CMP CATTP ENFANTS BEAUMONT SUR OISE","False"
30105,950110080,950500017,"SMR AINCOURT","False"
30105,950110080,950787135,"CENTRE PSYCHOTHERAPIQUE LES OLIVIERS","False"
30105,950110080,950801399,"CENTRE DE LONG SEJOUR MARINES","False"
30105,950110080,950805879,"CMP ADULTES","False"
30105,950110080,950809293,"HOPITAL DE JOUR -CENTRE DE READAPTATION PSYCHO-SOCIALE BEAUMONT","False"
30106,340798123,340780196,"CLINIQUE LE VAL D'ORB","True"
30107,810100008,810001818,"FONDATION BON SAUVEUR-CMP ENFANT ADO-CATTP LACAUNE","False"
30107,810100008,810002022,"CENTRE HOSPITALIER SPECIALISE PIERRE JAMET ALBI","True"
30107,810100008,810004978,"FONDATION DE BON SAUVEUR- HOPITAL DE JOUR-CATTP LE GALINOU","False"
30107,810100008,810005108,"FONDATION BON SAUVEUR-HOPITAL DE JOUR INFANTO JUVENILE GAILLAC","False"
30107,810100008,810005199,"HOPITAL DE JOUR - CHS JAMET","False"
30107,810100008,810007369,"HOPITAL DE JOUR BELLEVUE","False"
30107,810100008,810007443,"FONDATION BON SAUVEUR-HOPITAL DE JOUR DE LA RACHOUNE","False"
30107,810100008,810007450,"FONDATION BON SAUVEUR-HOPITAL DE JOUR REALMONT","False"
30107,810100008,810009068,"FONDATION BON SAUVEUR - UMD LOUIS CROCQ","False"
30107,810100008,810009621,"FONDATION BON SAUVEUR-CMP ADULTES GAILLAC","False"
30107,810100008,810009647,"FONDATION BON SAUVEUR-CMP ADULTES RABASTENS","False"
30107,810100008,810009654,"FONDATION BON SAUVEUR-CMP CANTEPAU","False"
30107,810100008,810009662,"FONDATION BON SAUVEUR-CMP ADULTES CARMAUX","False"
30107,810100008,810009670,"FONDATION BON SAUVEUR-CMP ADULTES CORDES","False"
30107,810100008,810009696,"FONDATION BON SAUVEUR-CMP ADULTES VALENCE","False"
30107,810100008,810009704,"FONDATION BON SAUVEUR-CMP ADULTES ALBAN","False"
30107,810100008,810009712,"FONDATION BON SAUVEUR-CMP ADULTES REALMONT","False"
30107,810100008,810009720,"FONDATION BON SAUVEUR-CMP INTERSECTORIEL ADULTES ALBI","False"
30107,810100008,810009746,"FONDATION BON SAUVEUR-CATTP ADULTES GAILLAC","False"
30107,810100008,810009753,"FONDATION BON SAUVEUR-CATTP ADULTES CARMAUX","False"
30107,810100008,810009787,"FONDATION BON SAUVEUR-CATTP ADULTES ALBAN","False"
30107,810100008,810009795,"FONDATION BON SAUVEUR-CATTP ADULTES REAMONT","False"
30107,810100008,810009803,"FONDATION BON SAUVEUR-CMP ADULTES LACAUNE","False"
30107,810100008,810009811,"FONDATION BON SAUVEUR-CATTP ADULTES LACAUNE","False"
30107,810100008,810009845,"FONDATION BON SAUVEUR-CMP ENFANT ADO-CATTP ALBI","False"
30107,810100008,810009852,"FONDATION BON SAUVEUR-CMP ENFANTS ALBI","False"
30107,810100008,810009860,"FONDATION BON SAUVEUR-CMP MERE ENFANT ALBI","False"
30107,810100008,810009886,"FONDATION BON SAUVEUR-CMP ENFANT ADOCARMAUX","False"
30107,810100008,810009894,"FONDATION BON SAUVEUR-CATTP ENFANT CARMAUX","False"
30107,810100008,810009902,"FONDATION BON SAUVEUR-CMP ENFANT ADO-CATTP GAILLAC","False"
30107,810100008,810009936,"FONDATION BON SAUVEUR-CMP ENFANT ADO REALMONT","False"
30107,810100008,810100495,"FONDATION BON SAUVEUR-HOPITAL DE JOUR CARMAUX","False"
30107,810100008,810101295,"FONDATION BON SAUVEUR-CENTRE D'ADOLESCENT ALBI","False"
30107,810100008,810101303,"FONDATION BON SAUVEUR-CLINIQUE ADDICTOLOGIE ST SALVADOU HOPITAL DE JOUR","False"
30107,810100008,810101329,"FONDATION BON SAUVEUR-CENTRE PSYCHOGERIATRIE - HOPITAL DE JOUR","False"
30107,810100008,810101337,"FONDATION BON SAUVEUR-ACCUEIL FAMILIAL","False"
30107,810100008,810101360,"FONDATION BON SAUVEUR-HOP JOUR VILLEBOIS GRAULHET","False"
30107,810100008,810102186,"FONDATION BON SAUVEUR-PLACEMENT FAMILIAL THERAPEUTIQUE","False"
30107,810100008,810102996,"FONDATION BON SAUVEUR-HOPITAL DE JOUR ALBAN","False"
30108,670000199,670780386,"CLINIQUE SAINTE ODILE","True"
30109,680000353,680000130,"CENTRE DE READAPTATION DE MULHOUSE","True"
30110,340000454,340780931,"CENTRE PSYCHOTHERAPIQUE SAINT MARTIN DE VIGNOGOUL","True"
30111,370000291,370000143,"CLINIQUE DU VAL DE LOIRE","True"
30112,460780216,460000110,"CENTRE HOSPITALIER DE CAHORS-JEAN ROUGIER","True"
30112,460780216,460785553,"CENTRE DE PLANIF FAM - CH CAHORS","False"
